image_id,healthy,multiple_diseases,rust,scab
Test_0,2.395675602340219e-10,4.783814074471593e-05,0.9999521970748901,1.9765382039405033e-11
Test_1,1.3882271559850778e-05,0.005104166455566883,0.9948713779449463,1.0598184417176526e-05
Test_2,2.0284410595650115e-08,2.6354676663231658e-08,1.2863875520352508e-09,1.0
Test_3,0.9957541227340698,2.6020684344985057e-06,0.004100448451936245,0.00014278596790973097
Test_4,9.310005891216555e-12,6.909454532433301e-05,0.9999308586120605,3.1373184050664804e-09
Test_5,0.9990656971931458,4.419018750922987e-06,0.000793689745478332,0.00013629130262415856
Test_6,0.9999414682388306,5.745767452935979e-07,5.704219074686989e-05,8.429879017057829e-07
Test_7,0.9063927531242371,0.0011151527287438512,0.0018665161915123463,0.0906255766749382
Test_8,6.620249678235268e-06,0.1442793756723404,0.5876114964485168,0.2681024372577667
Test_9,6.501444937967449e-10,7.89086552686058e-05,0.9999210834503174,7.385416583849391e-11
Test_10,4.846367119171191e-06,6.872849917272106e-05,0.9999262094497681,2.431268910640938e-07
Test_11,0.9996483325958252,1.1989001905021723e-05,0.0003043257165700197,3.531440597726032e-05
Test_12,0.012808520346879959,0.015950946137309074,4.9111989937955514e-05,0.9711914658546448
Test_13,0.9999864101409912,5.080441496829735e-06,8.40246593725169e-06,1.6804780500478955e-07
Test_14,5.482473852680414e-07,0.000482027477119118,0.9995174407958984,5.334277464186243e-09
Test_15,4.297652139939601e-06,0.0012241342337802052,0.9987697005271912,1.8005492847805726e-06
Test_16,0.9999983310699463,1.8345052410495555e-07,1.1693883834595908e-06,2.758331731911312e-07
Test_17,1.1839180160677643e-06,0.00018403015565127134,5.057006092101801e-06,0.9998098015785217
Test_18,0.002931775990873575,0.0006017581908963621,0.001429226715117693,0.9950372576713562
Test_19,1.5801200625720213e-10,0.0002764193923212588,0.9997232556343079,3.285262266672362e-07
Test_20,9.526848998575588e-07,3.9170214449768537e-07,8.371251247751843e-09,0.9999986886978149
Test_21,0.9999929666519165,6.060356105841436e-10,3.9376382119371556e-06,3.080059514104505e-06
Test_22,2.818455917871082e-13,0.0012064700713381171,0.9987934827804565,4.4299034384319425e-13
Test_23,2.2600661619964768e-10,1.061926324652518e-09,1.8252477307356685e-10,1.0
Test_24,0.9999059438705444,1.5362273188657127e-05,4.57223504781723e-05,3.294853013358079e-05
Test_25,5.819155717290414e-07,8.362352673429996e-06,7.767295073790592e-07,0.9999902248382568
Test_26,0.002089770743623376,0.0011709785321727395,0.00043965206714347005,0.9962995648384094
Test_27,4.323538922712533e-12,0.00016447892994619906,0.9998354911804199,2.1749834572259985e-11
Test_28,1.0,1.2670069438058817e-09,9.391387223445236e-09,1.3930936404449312e-09
Test_29,0.0024681794457137585,0.969009518623352,0.02848970890045166,3.2531534088775516e-05
Test_30,0.999968409538269,6.85684753420901e-08,4.689616162067978e-06,2.6771271222969517e-05
Test_31,3.7057559243436344e-09,0.02499179169535637,0.9750081896781921,1.491127665786962e-09
Test_32,0.024559088051319122,0.0007539715152233839,0.08864140510559082,0.8860455751419067
Test_33,1.1380759133317042e-05,1.4386669136001728e-05,4.28166185884038e-06,0.9999699592590332
